Date,Close,Adj Close
2019-11-18,312.0199890136719,283.020751953125
2019-11-19,311.92999267578125,282.93914794921875
2019-11-20,310.7699890136719,281.88690185546875
2019-11-21,310.2699890136719,281.43353271484375
2019-11-22,310.9599914550781,282.0593566894531
2019-11-25,313.3699951171875,284.2453308105469
2019-11-26,314.0799865722656,284.8892822265625
2019-11-27,315.4800109863281,286.1592712402344
2019-11-29,314.30999755859375,285.0979919433594
2019-12-02,311.6400146484375,282.6761474609375
2019-12-03,309.54998779296875,280.78033447265625
2019-12-04,311.4599914550781,282.5129089355469
2019-12-05,312.0199890136719,283.020751953125
2019-12-06,314.8699951171875,285.6059265136719
2019-12-09,313.8800048828125,284.70794677734375
2019-12-10,313.5299987792969,284.3905334472656
2019-12-11,314.4200134277344,285.1977844238281
2019-12-12,317.1300048828125,287.6558837890625
2019-12-13,317.32000732421875,287.8282165527344
2019-12-16,319.5,289.8055725097656
2019-12-17,319.57000732421875,289.8691711425781
2019-12-18,319.5899963378906,289.88714599609375
2019-12-19,320.8999938964844,291.075439453125
2019-12-20,320.7300109863281,292.35162353515625
2019-12-23,321.2200012207031,292.7982482910156
2019-12-24,321.2300109863281,292.80743408203125
2019-12-26,322.94000244140625,294.3661193847656
2019-12-27,322.8599853515625,294.2930908203125
2019-12-30,321.0799865722656,292.67059326171875
2019-12-31,321.8599853515625,293.38153076171875
2020-01-02,324.8699951171875,296.1253967285156
2020-01-03,322.4100036621094,293.8829040527344
2020-01-06,323.6400146484375,295.0041809082031
2020-01-07,322.7300109863281,294.17462158203125
2020-01-08,324.45001220703125,295.74249267578125
2020-01-09,326.6499938964844,297.7478332519531
2020-01-10,325.7099914550781,296.8909606933594
2020-01-13,327.95001220703125,298.9327697753906
2020-01-14,327.45001220703125,298.47698974609375
2020-01-15,328.19000244140625,299.15155029296875
2020-01-16,330.9200134277344,301.63995361328125
2020-01-17,331.95001220703125,302.57891845703125
2020-01-21,331.29998779296875,301.9863586425781
2020-01-22,331.3399963378906,302.0228271484375
2020-01-23,331.7200012207031,302.3691711425781
2020-01-24,328.7699890136719,299.68017578125
2020-01-27,323.5,294.87646484375
2020-01-28,326.8900146484375,297.96661376953125
2020-01-29,326.6199951171875,297.7204895019531
2020-01-30,327.67999267578125,298.6866455078125
2020-01-31,321.7300109863281,293.2632141113281
2020-02-03,324.1199951171875,295.441650390625
2020-02-04,329.05999755859375,299.9446105957031
2020-02-05,332.8599853515625,303.4082336425781
2020-02-06,333.9800109863281,304.4292297363281
2020-02-07,332.20001220703125,302.80670166015625
2020-02-10,334.67999267578125,305.0673522949219
2020-02-11,335.260009765625,305.5960388183594
2020-02-12,337.4200134277344,307.5648498535156
2020-02-13,337.05999755859375,307.2367248535156
2020-02-14,337.6000061035156,307.72900390625
2020-02-18,336.7300109863281,306.9358825683594
2020-02-19,338.3399963378906,308.40350341796875
2020-02-20,336.95001220703125,307.13641357421875
2020-02-21,333.4800109863281,303.9734802246094
2020-02-24,322.4200134277344,293.8920593261719
2020-02-25,312.6499938964844,284.986572265625
2020-02-26,311.5,283.9383239746094
2020-02-27,297.510009765625,271.1861267089844
2020-02-28,296.260009765625,270.0467834472656
2020-03-02,309.0899963378906,281.7415466308594
2020-03-03,300.239990234375,273.674560546875
2020-03-04,312.8599853515625,285.1778869628906
2020-03-05,302.4599914550781,275.69818115234375
2020-03-06,297.4599914550781,271.1404724121094
2020-03-09,274.2300109863281,249.96597290039062
2020-03-10,288.4200134277344,262.90045166015625
2020-03-11,274.3599853515625,250.08447265625
2020-03-12,248.11000061035156,226.1570587158203
2020-03-13,269.32000732421875,245.49041748046875
2020-03-16,239.85000610351562,218.62789916992188
2020-03-17,252.8000030517578,230.4320831298828
2020-03-18,240.0,218.76466369628906
2020-03-19,240.50999450683594,219.22952270507812
2020-03-20,228.8000030517578,209.781982421875
2020-03-23,222.9499969482422,204.418212890625
2020-03-24,243.14999389648438,222.939208984375
2020-03-25,246.7899932861328,226.27664184570312
2020-03-26,261.20001220703125,239.48887634277344
2020-03-27,253.4199981689453,232.35557556152344
2020-03-30,261.6499938964844,239.90150451660156
2020-03-31,257.75,236.32565307617188
2020-04-01,246.14999389648438,225.6898651123047
2020-04-02,251.8300018310547,230.89772033691406
2020-04-03,248.19000244140625,227.560302734375
2020-04-06,264.8599853515625,242.84463500976562
2020-04-07,265.1300048828125,243.0922088623047
2020-04-08,274.0299987792969,251.25247192382812
2020-04-09,278.20001220703125,255.07586669921875
2020-04-13,275.6600036621094,252.7469940185547
2020-04-14,283.7900085449219,260.20123291015625
2020-04-15,277.760009765625,254.6724090576172
2020-04-16,279.1000061035156,255.90103149414062
2020-04-17,286.6400146484375,262.8142395019531
2020-04-20,281.5899963378906,258.1840515136719
2020-04-21,273.0400085449219,250.34478759765625
2020-04-22,279.1000061035156,255.90103149414062
2020-04-23,279.0799865722656,255.8826904296875
2020-04-24,282.9700012207031,259.4493408203125
2020-04-27,287.04998779296875,263.190185546875
2020-04-28,285.7300109863281,261.97991943359375
2020-04-29,293.2099914550781,268.838134765625
2020-04-30,290.4800109863281,266.3351135253906
2020-05-01,282.7900085449219,259.2843322753906
2020-05-04,283.57000732421875,259.99945068359375
2020-05-05,286.19000244140625,262.4017028808594
2020-05-06,284.25,260.62298583984375
2020-05-07,287.67999267578125,263.7678527832031
2020-05-08,292.44000244140625,268.1321716308594
2020-05-11,292.5,268.1872863769531
2020-05-12,286.6700134277344,262.8418273925781
2020-05-13,281.6000061035156,258.1932678222656
2020-05-14,284.9700012207031,261.2830505371094
2020-05-15,286.2799987792969,262.48419189453125
2020-05-18,295.0,270.4794616699219
2020-05-19,291.9700012207031,267.7012023925781
2020-05-20,296.92999267578125,272.2490234375
2020-05-21,294.8800048828125,270.36944580078125
2020-05-22,295.44000244140625,270.8829345703125
2020-05-26,299.0799865722656,274.2203063964844
2020-05-27,303.5299987792969,278.3004150390625
2020-05-28,302.9700012207031,277.786865234375
2020-05-29,304.32000732421875,279.0246887207031
2020-06-01,305.54998779296875,280.1524658203125
2020-06-02,308.0799865722656,282.4721984863281
2020-06-03,312.17999267578125,286.2313537597656
