Date,Price
2021-03-01,361.7413940429688
2021-03-02,358.9185791015625
2021-03-03,354.1644287109375
2021-03-04,349.7816772460937
2021-03-05,356.216552734375
2021-03-08,354.44305419921875
2021-03-09,359.5035400390625
2021-03-10,361.7413940429688
2021-03-11,365.4090576171875
2021-03-12,365.9011840820313
2021-03-15,368.0832214355469
2021-03-16,367.6189880371094
2021-03-17,368.87249755859375
2021-03-18,363.505615234375
2021-03-19,362.83294677734375
2021-03-22,365.7301330566406
2021-03-23,362.8515319824219
2021-03-24,361.007080078125
2021-03-25,363.0378723144531
2021-03-26,368.8882751464844
2021-03-29,368.7019348144531
2021-03-30,367.7237548828125
2021-03-31,369.2142333984375
2021-04-01,373.2013854980469
2021-04-05,378.55804443359375
2021-04-06,378.3345336914063
2021-04-07,378.7723388671875
2021-04-08,380.5703125
2021-04-09,383.3370666503906
2021-04-12,383.4768676757813
2021-04-13,384.6134033203125
2021-04-14,383.2998352050781
2021-04-15,387.4173889160156
2021-04-16,388.7123107910156
2021-04-19,386.8025817871094
2021-04-20,383.9705200195313
2021-04-21,387.6036987304688
2021-04-22,384.063720703125
2021-04-23,388.2279052734375
2021-04-26,389.038330078125
2021-04-27,388.95452880859375
2021-04-28,388.84271240234375
2021-04-29,391.3207092285156
2021-04-30,388.7495422363281
2021-05-03,389.5880432128906
2021-05-04,387.18450927734375
2021-05-05,387.3056335449219
2021-05-06,390.3984375
2021-05-07,393.23974609375
2021-05-10,389.3457946777344
2021-05-11,385.87103271484375
2021-05-12,377.6730651855469
2021-05-13,382.2098693847656
2021-05-14,388.078857421875
2021-05-17,387.0914001464844
2021-05-18,383.75634765625
2021-05-19,382.7501220703125
2021-05-20,386.8677368164063
2021-05-21,386.5509948730469
2021-05-24,390.49169921875
2021-05-25,389.6252136230469
2021-05-26,390.3984375
2021-05-27,390.6033630371094
2021-05-28,391.3020935058594
2021-06-01,390.9574279785156
2021-06-02,391.5722961425781
2021-06-03,390.1189575195313
2021-06-04,393.68701171875
2021-06-07,393.3050537109375
2021-06-08,393.3888854980469
