strategy,initial_capital,final_after_tax_value,total_after_tax_return,after_tax_cagr,max_drawdown,trades,fees_paid,tax_paid,realized_short_gain,realized_long_gain
trend_following,100000.0,127864.79650972167,0.2786479650972167,0.050452780483645876,-0.24016763134237373,32,313.8173684914799,16793.200789161845,17146.327448825483,27511.66985005801
buy_and_hold,100000.0,172054.12412689484,0.7205412412689483,0.11478510793598495,-0.2449638707150874,2,28.477803759990685,12715.43366945203,0.0,84769.55779634687
