strategy,date,action,price,shares,gross,fees,tax,cash_after,realized_short_gain,realized_long_gain
trend_following,2021-07-12,BUY,408.508331,244.76857223936585,99990.0009999,9.99900009999,0.0,0.0,,
trend_following,2022-01-24,SELL_SIGNAL,413.853912,244.76857223936585,101298.43124244567,10.129843124244568,450.90548976249914,100837.39590955892,1288.3013993214263,0.0
trend_following,2022-01-25,BUY,408.801086,246.6415000502855,100827.31317824111,10.082731317824111,0.0,-1.4551915228366852e-11,,
trend_following,2022-01-26,SELL_SIGNAL,407.775543,246.6415000502855,100574.37166184736,10.057437166184735,0.0,100564.31422468116,-273.0816848777613,0.0
trend_following,2022-01-31,BUY,423.328918,237.53222237995473,100554.25879880128,10.055425879880127,0.0,0.0,,
trend_following,2022-02-14,SELL_SIGNAL,413.082306,237.53222237995473,98120.35814821179,9.81203581482118,0.0,98110.54611239697,-2453.7681122841896,0.0
trend_following,2022-02-16,BUY,420.214447,233.45398220870186,98100.7360387931,9.81007360387931,0.0,0.0,,
trend_following,2022-02-18,SELL_SIGNAL,408.575287,233.45398220870186,95383.52775075169,9.538352775075168,0.0,95373.9893979766,-2736.556714420367,0.0
trend_following,2022-03-21,BUY,419.434052,227.36459428729248,95364.45295268134,9.536445295268134,0.0,0.0,,
trend_following,2022-04-12,SELL_SIGNAL,413.676636,227.36459428729248,94055.42045165453,9.405542045165452,0.0,94046.01490960937,-1327.9744883672392,0.0
trend_following,2022-08-17,BUY,404.429749,232.51655346592315,94036.6112484845,9.403661124848451,0.0,1.4551915228366852e-11,,
trend_following,2022-08-18,SELL_SIGNAL,405.605194,232.51655346592315,94309.92179810142,9.430992179810142,89.06656370929049,94211.42424221234,254.47589631225856,0.0
trend_following,2022-12-01,BUY,387.749603,242.9454556420326,94202.00404180815,9.420200404180815,0.0,0.0,,
trend_following,2022-12-06,SELL_SIGNAL,374.85257,242.9454556420326,91068.72831521882,9.106872831521882,0.0,91059.6214423873,-3151.8027998250327,0.0
trend_following,2022-12-14,BUY,380.154175,239.50944754855692,91050.51639074823,9.105051639074823,0.0,0.0,,
trend_following,2022-12-15,SELL_SIGNAL,370.85498,239.50944754855692,88823.27149270118,8.882327149270118,0.0,88814.38916555191,-2245.2322768353915,0.0
trend_following,2023-01-12,BUY,379.566772,233.96544444319008,88805.50861469044,8.880550861469043,0.0,0.0,,
trend_following,2023-01-19,SELL_SIGNAL,371.611298,233.96544444319008,86944.20240483104,8.694420240483105,0.0,86935.50798459056,-1878.8811809613544,0.0
trend_following,2023-01-23,BUY,383.075989,226.91794278799796,86926.81530306026,8.692681530306025,0.0,0.0,,
trend_following,2023-03-13,SELL_SIGNAL,368.475037,226.91794278799796,83613.59727879081,8.361359727879082,0.0,83605.23591906294,-3330.2720655276207,0.0
trend_following,2023-03-15,BUY,372.223297,224.5879741500496,83596.87623143979,8.359687623143978,0.0,0.0,,
trend_following,2023-03-16,SELL_SIGNAL,378.753967,224.5879741500496,85063.5862138674,8.50635862138674,507.4453776640788,84547.63447758195,1449.8439361830824,0.0
trend_following,2023-03-17,BUY,374.325348,225.84412472655256,84539.18055952601,8.4539180559526,0.0,-1.4551915228366852e-11,,
trend_following,2023-10-26,SELL_SIGNAL,398.85202,225.84412472655256,90078.38541186618,9.007838541186619,1932.6100835100615,88136.76748981491,5521.743095743033,0.0
trend_following,2023-11-02,BUY,416.457428,211.61335774971903,88127.95469434548,8.812795469434548,0.0,0.0,,
trend_following,2025-03-11,SELL_SIGNAL,546.562866,211.61335774971903,115660.00334020694,11.566000334020694,4126.750477508701,111521.68686236422,0.0,27511.66985005801
trend_following,2025-03-25,BUY,567.475952,196.50266304080316,111510.53580878334,11.151053580878335,0.0,0.0,,
trend_following,2025-03-27,SELL_SIGNAL,559.212341,196.50266304080316,109886.7142724212,10.98867142724212,0.0,109875.72560099396,-1645.961261370263,0.0
trend_following,2025-05-13,BUY,578.69812,189.84810094913288,109864.73912708124,10.986473912708124,0.0,1.4551915228366852e-11,,
trend_following,2026-03-23,SELL_SIGNAL,653.695923,189.84810094913288,124102.92955156002,12.410292955156002,4975.177780163816,119115.34147844107,14214.793657610906,0.0
trend_following,2026-04-09,BUY,678.162842,175.62659555299211,119103.43113532754,11.910343113532754,0.0,0.0,,
trend_following,2026-07-10,SELL_FINAL,754.950012,175.62659555299211,132589.30045661074,13.258930045661074,4711.245016843398,127864.79650972167,13460.700048123996,0.0
buy_and_hold,2021-07-12,BUY,408.508331,244.76857223936585,99990.0009999,9.99900009999,0.0,0.0,,
buy_and_hold,2026-07-10,SELL_FINAL,754.950012,244.76857223936585,184788.03660000686,18.478803660000686,12715.43366945203,172054.12412689484,0.0,84769.55779634687
